iter	Passed	Remaining
0	2	278
1	4	227
2	6	202
3	7	184
4	13	253
5	18	291
6	20	274
7	22	255
8	24	249
9	26	236
10	28	232
11	30	222
12	31	212
13	33	202
14	34	194
15	35	188
16	37	181
17	38	177
18	40	171
19	41	166
20	42	161
21	44	157
22	45	152
23	47	151
24	48	146
25	49	142
26	51	137
27	52	134
28	53	130
29	54	126
30	55	123
31	56	120
32	57	116
33	58	113
34	59	110
35	60	107
36	61	104
37	62	102
38	63	99
39	65	97
40	66	95
41	66	92
42	68	90
43	69	88
44	70	85
45	71	83
46	72	81
47	73	79
48	74	77
49	75	75
50	76	73
51	78	72
52	79	70
53	80	68
54	81	66
55	82	64
56	83	63
57	84	61
58	88	61
59	90	60
60	91	58
61	93	57
62	94	55
63	95	53
64	96	52
65	98	50
66	99	48
67	100	47
68	101	45
69	103	44
70	104	42
71	105	41
72	106	39
73	108	38
74	110	36
75	112	35
76	115	34
77	116	32
78	117	31
79	118	29
80	119	28
81	120	26
82	121	24
83	123	23
84	124	21
85	126	20
86	127	19
87	128	17
88	129	16
89	130	14
90	132	13
91	133	11
92	135	10
93	136	8
94	138	7
95	139	5
96	140	4
97	142	2
98	143	1
99	144	0
